City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
119,San Pablo De Las Salinas,MX,19.6658,-99.0964,71.4,42,93,1.01,overcast clouds
120,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,75,40,10.71,scattered clouds
121,Sambava,MG,-14.2667,50.1667,75.79,80,32,16.55,scattered clouds
122,Saint Anthony,US,45.0205,-93.218,84.92,50,1,5.01,clear sky
123,Muscat,OM,23.6139,58.5922,87.82,75,0,11.48,clear sky
124,Linxia,CN,35.6003,103.2064,59.81,59,80,3.56,broken clouds
125,Antofagasta,CL,-23.65,-70.4,70.21,53,1,7.99,clear sky
126,Tambo,PE,-14.8,-73.9167,45.16,24,32,5.14,scattered clouds
127,Matagami,CA,49.7502,-77.6328,66.31,63,1,6.78,clear sky
128,Mopipi,BW,-21.1833,24.8833,60.44,38,0,6.6,clear sky
129,Duma,CN,34.7653,108.135,68.02,28,100,6.42,overcast clouds
130,Aginskoye,RU,51.1,114.53,61.29,46,15,1.99,few clouds
131,Hasaki,JP,35.7333,140.8333,66.6,90,100,4.9,overcast clouds
132,Baruun-Urt,MN,46.6806,113.2792,65.61,35,98,3.47,overcast clouds
133,Tebingtinggi,ID,3.3285,99.1625,80.65,95,65,3.0,broken clouds
134,Qaanaaq,GL,77.484,-69.3632,39.74,84,84,4.65,broken clouds
135,Saint-Augustin,CA,51.226,-58.6502,58.33,37,4,10.85,clear sky
136,Machalpur,IN,24.1333,76.3,88.38,47,65,13.53,broken clouds
137,Georgetown,MY,5.4112,100.3354,82.89,84,20,2.3,few clouds
138,Esperance,AU,-33.8667,121.9,57.04,69,57,25.93,light rain
139,Portland,US,45.5234,-122.6762,53.2,82,90,1.01,overcast clouds
140,Malanje,AO,-9.5402,16.341,73.38,38,100,4.65,overcast clouds
141,Isangel,VU,-19.55,169.2667,71.62,68,100,12.68,overcast clouds
142,Grand Forks,US,47.9417,-97.4337,78.73,57,40,5.75,scattered clouds
143,Margate,GB,51.3813,1.3862,71.74,81,38,7.45,scattered clouds
144,Suoyarvi,RU,62.0833,32.35,72.79,48,100,1.52,light rain
145,Mudgee,AU,-32.5943,149.5871,33.85,100,49,1.14,scattered clouds
146,Birjand,IR,32.8663,59.2211,99.07,4,0,9.22,clear sky
147,Havelock,US,34.8791,-76.9013,85.98,76,40,1.99,scattered clouds
148,Mahebourg,MU,-20.4081,57.7,74.25,88,40,6.91,scattered clouds
149,Butaritari,KI,3.0707,172.7902,81.63,75,7,7.25,light rain
150,Namibe,AO,-15.1961,12.1522,83.03,69,0,11.5,clear sky
151,Ostrovnoy,RU,68.0531,39.5131,42.96,66,26,13.29,scattered clouds
152,San Patricio,US,28.017,-97.5169,86.92,67,1,12.01,clear sky
153,Atuona,PF,-9.8,-139.0333,79.16,66,68,11.12,broken clouds
154,Den Helder,NL,52.9599,4.7593,71.98,59,1,8.05,clear sky
155,Ixtapa,MX,20.7,-105.2,83.23,76,100,1.99,overcast clouds
156,Padang,ID,-0.9492,100.3543,77.2,83,87,4.32,overcast clouds
157,Torbay,CA,47.6666,-52.7314,57.38,94,75,19.57,light rain
158,Vozhega,RU,60.4725,40.2213,72.07,52,44,2.17,scattered clouds
159,Arkalgud,IN,12.765,76.0569,70.23,89,100,8.37,overcast clouds
160,Haines Junction,CA,60.7522,-137.5108,48.15,81,80,2.3,broken clouds
161,Vyritsa,RU,59.4078,30.3481,72.91,47,34,7.49,scattered clouds
162,Volksrust,ZA,-27.3654,29.8818,42.82,77,21,3.56,few clouds
163,Aitape,PG,-3.1374,142.3475,77.81,88,97,3.62,overcast clouds
164,Huambo,AO,-12.7761,15.7392,76.8,27,20,2.3,few clouds
165,Kasongo-Lunda,CD,-6.4667,16.8167,85.68,36,69,3.36,broken clouds
166,Goderich,CA,43.7501,-81.7165,84.04,53,82,11.5,broken clouds
167,Avera,US,33.194,-82.5271,85.95,47,86,4.41,overcast clouds
168,Skelleftea,SE,64.7507,20.9528,68.36,45,0,5.35,clear sky
169,Dingle,PH,10.9995,122.6711,77.05,84,100,2.57,light rain
170,Kjollefjord,NO,70.9457,27.3465,40.82,70,75,6.87,broken clouds
171,Vardo,NO,70.3705,31.1107,48.4,65,75,13.8,broken clouds
172,Salalah,OM,17.0151,54.0924,86.09,84,40,10.36,scattered clouds
173,Ucluelet,CA,48.9329,-125.5528,53.96,90,100,14.88,overcast clouds
174,Ampanihy,MG,-24.7,44.75,64.36,61,95,16.33,overcast clouds
175,Rocha,UY,-34.4833,-54.3333,57.38,63,3,8.66,clear sky
176,Batticaloa,LK,7.7102,81.6924,84.06,69,98,4.5,overcast clouds
177,Haputale,LK,6.7681,80.9595,66.79,84,100,4.59,overcast clouds
178,Takoradi,GH,4.8845,-1.7554,83.53,68,55,9.98,broken clouds
179,Ilulissat,GL,69.2167,-51.1,39.22,87,61,5.75,broken clouds
180,Crotone,IT,39.0851,17.1178,82.35,39,0,11.61,clear sky
181,Kotido,UG,2.9806,34.1331,76.91,45,81,8.21,broken clouds
182,Sfantu Gheorghe,RO,45.8667,25.7833,65.57,66,32,1.99,scattered clouds
183,Katsuura,JP,35.1333,140.3,70.11,90,100,6.11,overcast clouds
184,San Quintin,MX,30.4833,-115.95,74.44,71,100,1.97,overcast clouds
185,Taldan,RU,53.6667,124.8,56.17,53,12,4.43,few clouds
186,Yellowknife,CA,62.456,-114.3525,45.32,70,75,7.0,broken clouds
187,Stephenville,US,32.2207,-98.2023,77.09,85,90,10.36,overcast clouds
188,Chontaul,RU,43.3048,46.8597,67.32,67,95,7.96,overcast clouds
189,Leningradskiy,RU,69.3833,178.4167,33.28,91,92,11.21,overcast clouds
190,Ozernovskiy,RU,51.5,156.5167,44.04,91,100,7.36,overcast clouds
191,Pevek,RU,69.7008,170.3133,45.93,78,28,11.34,scattered clouds
192,Joshimath,IN,30.5667,79.5667,66.02,75,77,2.93,broken clouds
193,Ballina,AU,-28.8667,153.5667,50.95,97,10,0.0,clear sky
194,Olinda,BR,-8.0089,-34.8553,80.33,69,75,11.92,broken clouds
195,Roald,NO,62.5833,6.1333,61.16,88,75,9.22,broken clouds
196,Jiazi,CN,22.8779,116.067,77.31,88,72,15.95,broken clouds
197,Okahandja,NA,-21.9833,16.9167,70.11,25,0,10.09,clear sky
198,Bairnsdale,AU,-37.8333,147.6167,51.08,79,98,1.01,overcast clouds
199,Bredasdorp,ZA,-34.5322,20.0403,74.52,29,11,6.49,few clouds
200,Libreville,GA,0.3925,9.4537,82.42,83,40,9.22,light rain
201,San Andres,CO,12.5847,-81.7006,86.02,74,20,18.41,few clouds
202,Tiruchchirappalli,IN,10.8167,78.6833,86.11,70,40,6.91,haze
203,Manta,EC,-0.95,-80.7333,80.38,74,40,9.22,scattered clouds
204,Pandamatenga,BW,-18.5278,25.627,57.99,51,91,5.08,overcast clouds
205,Aksu,CN,41.1231,80.2644,83.08,17,100,7.36,overcast clouds
206,Biankouma,CI,7.7391,-7.6138,92.95,36,37,7.85,scattered clouds
207,Lasa,IT,46.6166,10.7002,69.71,82,99,4.72,overcast clouds
208,Shimoda,JP,34.6667,138.95,68.16,92,100,9.17,overcast clouds
209,Bathsheba,BB,13.2167,-59.5167,88.41,55,40,18.25,scattered clouds
210,Touros,BR,-5.1989,-35.4608,76.1,68,41,14.97,scattered clouds
211,Faanui,PF,-16.4833,-151.75,80.56,72,2,11.88,clear sky
212,Chamrajnagar,IN,11.9167,76.95,79.2,83,100,5.86,overcast clouds
213,Saint George,US,37.1041,-113.5841,93.67,15,1,1.99,clear sky
214,Paamiut,GL,61.994,-49.6678,37.18,98,100,3.33,light rain
215,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,58,0,13.8,clear sky
216,Gat,IL,31.61,34.7642,81.39,47,0,11.23,clear sky
217,Sharjah,AE,25.3573,55.4033,109.74,30,0,10.0,clear sky
218,Hudson Bay,CA,52.85,-102.3842,65.17,59,92,11.03,overcast clouds
219,Salaga,GH,8.5508,-0.5188,95.22,39,34,5.53,scattered clouds
220,Sibenik,HR,43.7272,15.9058,79.14,53,95,1.99,overcast clouds
221,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,40,16.11,scattered clouds
222,Salinopolis,BR,-0.6136,-47.3561,84.72,67,17,7.36,few clouds
223,Strezhevoy,RU,60.7333,77.5889,53.58,82,80,6.15,broken clouds
224,Bay Roberts,CA,47.5999,-53.2648,58.14,90,100,4.0,light rain
225,San Cristobal,VE,7.7669,-72.225,69.98,95,100,3.6,overcast clouds
226,Kambam,ID,5.2505,96.8629,78.67,80,100,5.61,overcast clouds
227,Wewak,PG,-3.5534,143.6268,78.04,88,100,2.82,moderate rain
228,Zhoucheng,CN,35.9122,116.3117,87.64,34,71,15.43,broken clouds
229,Ducheng,CN,23.2373,111.5317,75.13,64,0,1.03,clear sky
230,Pinawa,CA,50.1489,-95.8811,72.97,78,98,8.7,overcast clouds
231,Vokhtoga,RU,58.8147,41.0461,71.74,54,10,2.28,clear sky
232,Mwanza,TZ,-2.5167,32.9,80.65,57,20,9.22,few clouds
233,Pisco,PE,-13.7,-76.2167,63.01,88,90,5.75,overcast clouds
234,Rota,ES,36.6224,-6.3586,95.09,51,0,13.8,clear sky
235,Buriti Dos Lopes,BR,-3.175,-41.8669,87.55,45,9,4.32,clear sky
236,Prince Rupert,CA,54.3161,-130.3201,48.29,93,90,4.61,light rain
237,Husavik,IS,66.0449,-17.3389,58.91,60,65,10.65,broken clouds
238,Kahului,US,20.8947,-156.47,75.85,78,90,11.5,overcast clouds
239,La Asuncion,VE,11.0333,-63.8628,80.01,69,100,8.68,overcast clouds
240,Calatayud,ES,41.3535,-1.6432,80.55,29,0,9.95,clear sky
241,Batemans Bay,AU,-35.7167,150.1833,51.91,84,13,4.41,few clouds
242,Felanitx,ES,39.4696,3.1483,76.44,56,18,6.87,few clouds
243,Vanimo,PG,-2.6741,141.3028,77.79,88,100,1.86,overcast clouds
244,Sorland,NO,67.667,12.6934,68.07,81,42,9.6,scattered clouds
245,Coihaique,CL,-45.5752,-72.0662,43.41,81,75,6.91,broken clouds
246,Nikolskoye,RU,59.7035,30.7861,76.39,44,14,5.08,few clouds
247,San Carlos De Bariloche,AR,-41.1456,-71.3082,45.45,54,75,4.99,broken clouds
248,Gaoual,GN,11.75,-13.2,105.4,24,19,6.78,few clouds
249,Gobabis,NA,-22.45,18.9667,58.17,32,0,11.45,clear sky
250,Bonavista,CA,48.6499,-53.1147,51.8,85,100,20.69,light rain
251,Constitucion,CL,-35.3333,-72.4167,54.95,50,92,5.06,overcast clouds
252,Coquimbo,CL,-29.9533,-71.3436,56.93,82,90,4.03,overcast clouds
253,Lebanon,US,36.2081,-86.2911,78.85,86,90,8.05,overcast clouds
254,Arlit,NE,18.7369,7.3853,110.21,7,86,16.64,overcast clouds
255,Luderitz,NA,-26.6481,15.1594,66.74,42,0,2.04,clear sky
256,Carutapera,BR,-1.195,-46.02,84.52,68,20,3.87,few clouds
257,Twin Falls,US,42.3505,-114.6445,53.94,44,1,3.53,clear sky
258,Kingston,JM,17.997,-76.7936,88.16,61,20,1.99,few clouds
259,Ahipara,NZ,-35.1667,173.1667,60.66,91,100,12.64,light rain
260,Poum,NC,-20.2333,164.0167,72.54,60,93,18.72,overcast clouds
261,Yulara,AU,-25.2406,130.9889,48.04,57,0,4.61,clear sky
262,Neuquen,AR,-38.9516,-68.0591,49.89,53,0,3.44,clear sky
263,Dunedin,NZ,-45.8742,170.5036,44.8,86,0,1.99,clear sky
264,Chunoyar,RU,57.4467,97.3217,51.3,62,60,4.68,broken clouds
265,Carnarvon,AU,-24.8667,113.6333,64.47,72,40,9.22,scattered clouds
266,Bani,DO,18.2833,-70.3333,86.86,52,28,16.22,scattered clouds
267,Buraydah,SA,26.326,43.975,109.85,7,2,10.49,clear sky
268,Gigmoto,PH,13.7796,124.39,80.74,83,100,3.96,overcast clouds
269,Curup,ID,-3.4667,102.5333,66.04,97,50,1.23,scattered clouds
270,Shakawe,BW,-18.3667,21.85,64.26,34,8,6.22,clear sky
271,Nelson Bay,AU,-32.7167,152.15,54.68,86,1,7.2,clear sky
272,Muroto,JP,33.2833,134.15,70.61,81,100,7.56,overcast clouds
273,Kelo,TD,9.3086,15.8066,94.1,31,94,1.74,overcast clouds
274,Severnoye,RU,56.3491,78.3619,61.27,73,24,12.01,few clouds
275,Rajanpur,PK,29.1035,70.325,100.94,20,55,5.79,broken clouds
276,Pitimbu,BR,-7.4706,-34.8086,77.59,75,42,13.8,scattered clouds
277,Manhay,BE,50.2929,5.676,65.55,78,98,7.61,overcast clouds
278,Zaqatala,AZ,41.6336,46.6433,61.27,94,90,6.91,overcast clouds
279,Mayo,US,38.8876,-76.5119,94.39,57,1,1.01,clear sky
280,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,76,99,5.7,overcast clouds
281,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,13.8,scattered clouds
282,Xicotencatl,MX,23.0167,-98.8833,87.53,55,77,11.25,broken clouds
283,Pangnirtung,CA,66.1451,-65.7125,35.4,87,16,0.54,few clouds
284,Mecca,SA,21.4267,39.8261,92.91,41,10,8.68,clear sky
285,Nishihara,JP,26.1842,127.7558,78.85,89,90,5.08,moderate rain
286,San Luis,AR,-33.295,-66.3356,60.4,36,100,13.82,overcast clouds
287,Svetlogorsk,BY,52.6333,29.7333,65.62,79,74,7.61,broken clouds
288,Castro,BR,-24.7911,-50.0119,74.88,43,95,6.87,overcast clouds
289,Hovd,MN,48.0056,91.6419,50.05,35,12,7.16,few clouds
290,Lagoa,PT,39.05,-27.9833,64.44,88,99,14.61,overcast clouds
291,Ambilobe,MG,-13.2,49.05,73.24,87,71,3.24,light rain
292,Talara,PE,-4.5772,-81.2719,74.16,68,20,13.8,few clouds
293,Kulhudhuffushi,MV,6.6221,73.07,82.63,77,99,13.22,overcast clouds
294,Urut,AM,41.0714,44.3964,59.76,93,79,3.74,broken clouds
295,Smolenka,RU,52.1352,113.4974,59.07,72,98,3.76,overcast clouds
296,Grand Gaube,MU,-20.0064,57.6608,74.37,82,52,1.99,broken clouds
297,Tromso,NO,69.6496,18.957,68.65,38,0,14.97,clear sky
298,Tianpeng,CN,30.9866,103.9393,77.47,49,100,2.59,overcast clouds
299,Soyo,AO,-6.1349,12.3689,82.45,76,63,11.3,broken clouds
300,Oktyabrskiy,RU,54.4815,53.471,62.76,66,17,3.24,few clouds
301,Miracema,BR,-21.4122,-42.1967,81.7,59,63,0.69,broken clouds
302,Ladario,BR,-19.0047,-57.6017,84.49,54,40,3.44,scattered clouds
303,Acapulco,MX,16.8634,-99.8901,87.58,63,75,5.41,broken clouds
304,Tiarei,PF,-17.5333,-149.3333,75.22,77,6,12.62,clear sky
305,Ejura,GH,7.3856,-1.3562,92.77,42,97,8.08,overcast clouds
306,Quatre Cocos,MU,-20.2078,57.7625,74.08,81,22,10.16,few clouds
307,Parkes,AU,-33.1333,148.1833,39.34,88,89,3.53,overcast clouds
